mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7331946156919003;0.0003498713025719278
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.770780209451914;0.0003546825664941006
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.769020486623049;0.0003544573075554338
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7303645946085453;0.00034950903668824187
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.76929197460413;0.00035449206024118404
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.7700070179998875;0.00035458359165385146
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.478535491973162;0.0014025948520156584
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.539829444140196;0.001418287108074807
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.537626292556524;0.001417723065170641
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.477598786354065;0.0014023550400292025
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.536576051265001;0.0014174541861917565
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.53477381169796;0.001416992783332811
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.252972904592752;0.006785956428362904
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.36688032746315;0.0068442807616298776
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.326731987297535;0.006823723495800069
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.162892434746027;0.006739832275855621
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.2870306186378;0.006803395094028572
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.420936591923237;0.006871959340462487
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.750479139387608;0.0274082778067496
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.0562358610332;0.02772155313630451
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.37661275267601;0.028049808148233615
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;27.088104639202356;0.027754205572953234
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.333460103720427;0.02800559436856601
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.03555206209421;0.027700360719358823
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;53.62377867847681;0.10988479237392788
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959256/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.63280113786459;0.11195246134808318
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959256/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;55.02211678773165;0.11275023931912223
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;54.434113040566444;0.11154531360771812
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959256/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.13198457658291;0.11092619790283383
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959256/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;55.03731841593981;0.11278139019659797
4;2;2;8;256;78125;50;0.001;input_data_256.h5;;par;83.81021;1.3102879226207733;1.6771685409545898e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_par.h5;par;83.81021;1.853492196649313;2.3724700117111206e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_par.h5;par;83.81021;6.82742702588439;8.73910659313202e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;;par;83.81021;1.7245896570384502;2.2074747610092163e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_par.h5;par;83.81021;2.4106620475649834;3.0856474208831786e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959256/256x256_out_hybrid_2d_par.h5;par;83.81021;7.385285943746567;9.453166007995606e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.1036260165274143;2.8253187663903906e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_par.h5;par;45.581886;1.9503418020904064;4.9929389229696545e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_par.h5;par;45.581886;3.9089410193264484;0.00010007017099294579
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.4109057076275349;3.611964844676501e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_par.h5;par;45.581886;2.172464907169342;5.561581350594803e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959256/512x512_out_hybrid_2d_par.h5;par;45.581886;4.052385784685612;0.00010374240399072274
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.584815539419651;8.114359425629262e-05
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_par.h5;par;29.214909;2.925478123128414;0.0001497863971700586
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_par.h5;par;29.214909;4.743560720235109;0.0002428734176557836
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.6782590299844742;8.59279622131214e-05
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_par.h5;par;29.214909;3.1903300136327744;0.00016334698753943855
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959256/1024x1024_out_hybrid_2d_par.h5;par;29.214909;4.753060705959797;0.00024335982315087793
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;2.881052453070879;0.0002950386536682928
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_par.h5;par;23.292988;6.024993538856506;0.0006169988263037897
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_par.h5;par;23.292988;11.3548833578825;0.0011628144759736304
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;2.990641463547945;0.0003062612865896513
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_par.h5;par;23.292988;6.209130175411701;0.0006358556247221404
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959256/2048x2048_out_hybrid_2d_par.h5;par;23.292988;10.958660714328289;0.001122238680422764
