mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.773917529731989;0.0003550841691925229
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7744836173951626;0.00035515663305109605
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7700516059994698;0.00035458929928308626
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7316857762634754;0.00034967815876388574
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7698769606649876;0.0003545669432494864
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7701306231319904;0.0003545994141233987
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.476000797003508;0.0014019459285723266
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.538978207856417;0.0014180691776386116
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.5363208912312984;0.0014173888610423192
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.475982792675495;0.0014019413191693536
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.535258207470179;0.0014171167965873472
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.5386574678123;0.0014179870629319764
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.2498494759202;0.006784357130527496
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.414320815354586;0.006868571846059696
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.401723023504019;0.006862121363801341
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.237715732306242;0.006778144256173191
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.361125003546476;0.006841333847182015
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.289737660437822;0.006804781188140206
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.939091753214598;0.027601528435670694
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.142944142222404;0.027810393588342627
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.103688791394234;0.027770172942002288
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.88887621834874;0.027550078092570433
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.19209823012352;0.02786075638332328
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.20925811678171;0.027878338234407492
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;54.15279207751155;0.11096883622440891
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959255/4096x4096_out_mpi_2d_seq.h5;seq;20.387009;134.44937562569976;0.27551101562643393
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959255/4096x4096_out_mpi_2d_seq.h5;seq;20.387009;54.572328079491854;0.1118285411464997
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;53.971306066960096;0.11059693866180348
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959255/4096x4096_out_mpi_2d_seq.h5;seq;20.387009;55.23781729862094;0.11319224856274783
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1959255/4096x4096_out_mpi_2d_seq.h5;seq;20.387009;54.513198368251324;0.11170737370543304
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8102;1.3829317577183247;1.7701526498794556e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_par.h5;par;83.8102;1.8437378071248531;2.359984393119812e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_par.h5;par;83.8102;7.034958824515343;9.00474729537964e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8102;1.938613098114729;2.481424765586853e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_par.h5;par;83.8102;2.4850504212081432;3.1808645391464234e-05
16;4;4;1;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959255/256x256_out_mpi_2d_par.h5;par;83.8102;7.7240831814706326;9.88682647228241e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5819;1.5185941755771637;3.887650851408437e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_par.h5;par;45.5819;2.2839628867805004;5.847019832011931e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_par.h5;par;45.5819;4.436029553413391;0.00011356381018415317
16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5819;1.823367577046156;4.6678807461117096e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_par.h5;par;45.5819;2.6495931074023247;6.783045177928228e-05
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959255/512x512_out_mpi_2d_par.h5;par;45.5819;4.8628490045666695;0.0001244905279956651
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;2.354263361543417;0.00012053982702080882
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_par.h5;par;29.214909;3.637040711939335;0.00018621886805280502
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_par.h5;par;29.214909;5.953584931790829;0.00030482745029905426
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;2.468658972531557;0.00012639695727466885
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_par.h5;par;29.214909;3.880560241639614;0.0001986872275684611
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1959255/1024x1024_out_mpi_2d_par.h5;par;29.214909;6.3206600323319435;0.0003236219360161765
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;5.10864195600152;0.0005231584184333354
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_par.h5;par;23.292988;8.771875090897083;0.0008982975003478836
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1959255/2048x2048_out_mpi_2d_par.h5;par;23.292988;13.98533296212554;0.001432189755466005
16;4;4;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;5.248505014926195;0.0005374813123324316
