mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.725266996771097;0.0003488565024028542
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1957634/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7651350125670433;0.00035395993504442437
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1957634/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7613569647073746;0.0003534763139666378
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7256353832781315;0.00034890365889377
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1957634/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.760284338146448;0.00035333900897932004
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1957634/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7605329528450966;0.000353370833697529
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.478731125593185;0.0014026449374278508
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1957634/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.532047614455223;0.001416294832169796
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1957634/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.532218288630247;0.0014163385275551069
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.4712845757603645;0.0014007384986585675
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1957634/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.526993315666914;0.0014150008488650573
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1957634/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.530447345227003;0.0014158851370268824
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.155746784061193;0.0067361734685413175
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1957634/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.386894509196281;0.006854528678543923
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1957634/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.310160849243402;0.006815238530078547
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.132716998457909;0.0067243814636241215
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1957634/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.345855854451656;0.006833515542473966
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1957634/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.266028817743063;0.006792641483739407
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;27.163670908659697;0.027831630029364444
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1957634/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.150076013058424;0.027817700833051663
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1957634/2048x2048_out_mpi_2d_seq.h5;seq;21.074463;27.58067338913679;0.02825888666919753
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.904631596058607;0.02756622089760103
