mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7279664918314666;0.00034920205988626046
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.7670215951511636;0.0003542014330710655
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.763451215461828;0.00035374439522040807
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.728270572493784;0.0003492409847022253
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.762294545187615;0.00035359633194925944
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.7631192583357915;0.0003537019019887086
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.478869535261765;0.0014026803725708564
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.537858276627958;0.0014177824568939984
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.53582702903077;0.0014172624242270277
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.480495949974284;0.0014030967613861453
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.535185124143027;0.0014170980860581225
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.534771839273162;0.0014169922783597445
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.1547820342239;0.006735679485009677
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_seq.h5;seq;22.999447;13.27827211713884;0.006798910454244158
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_seq.h5;seq;22.999447;13.254689165740274;0.00678683521031248
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.299188463250175;0.006809620308883858
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_seq.h5;seq;22.999447;13.834548136568628;0.007083742005411484
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_seq.h5;seq;22.999447;13.264305333374068;0.006791759003263732
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.747085072100163;0.02740480027879115
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_seq.h5;seq;21.074463;27.008237534668297;0.027672374523225712
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_seq.h5;seq;21.074463;29.501491417293437;0.03022693792755475
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;26.762169149587862;0.02742025527621707
