mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.728699252009392;0.00034929585919219044
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7282917201519012;0.000349243691775717
1;1;1;16;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.726972386240959;0.0003490748062264413
1;1;1;16;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7273876890540123;0.00034912796838889047
1;1;1;8;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7287842854857445;0.0003493067441738024
1;1;1;8;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7293569520115852;0.0003493800501806945
4;2;2;1;512;39062;50;0.001;input_data_512.h5;;par;45.5819;3.9399531297385693;0.0001008640911816745
4;2;2;1;512;39062;50;0.001;input_data_512.h5;;par;45.5819;4.041831541806459;0.00010347221191455787
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.4822297990322113;3.7945568558502155e-05
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.5537209399044514;3.9775765191348406e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.0856311060488224;2.7792512059004208e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.2221623361110687;3.128775628772384e-05
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;2.171788524836302;0.0001111969957931648
16;4;4;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;2.2112077735364437;0.00011321528716074158
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.3360048085451126;6.840432177282845e-05
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.4583452939987183;7.466823480613989e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;0.6918002888560295;3.542062817346933e-05
16;4;4;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;0.8954771086573601;4.584901483064667e-05
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;1.1201994456350803;0.00011471576504199491
64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;1.2939835414290428;0.00013251239543564185
256;16;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.17147;0.5988251902163029;0.0001226598095486077
256;16;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.17147;0.6276528127491474;0.0001285646892153108
