mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7276419922709465;0.0003491605212840433
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.766762513667345;0.0003541682685186054
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.765100833028555;0.00035395555978348116
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.72690562158823;0.0003490662598039209
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.7642881497740746;0.00035385152966898036
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_seq.h5;seq;43.28116;2.7652003578841686;0.0003539682997803595
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.480456206947565;0.001403086586520114
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.53908471390605;0.0014180964449324244
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.536151420325041;0.001417345473713528
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.47938572242856;0.0014028125249433078
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.538885094225407;0.0014180453390234015
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_seq.h5;seq;28.379347;5.539583574980497;0.0014182241615413459
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.219322614371777;0.006768726377046481
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.35152843222022;0.0068364200881823965
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.376746106892824;0.006849332364000422
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.241294749081135;0.006779976830046664
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.302110880613327;0.0068111166823416934
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_seq.h5;seq;22.999447;13.351045589894056;0.006836172857088611
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;27.151397474110126;0.02781905478904726
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.162170607596636;0.02783009283565229
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.371809225529432;0.028044886501567043
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.074463;27.296770460903645;0.027968002521417668
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.454795200377703;0.02812991311514109
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_seq.h5;seq;21.074463;27.052748255431652;0.02771797976990948
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;53.624074798077345;0.109885399176388
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963262/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.258547622710466;0.11118554840719358
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963262/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.10623821988702;0.11087343897517832
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387009;53.62571541592479;0.10988876109820653
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963262/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.95691027864814;0.1126166194234593
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963262/4096x4096_out_hybrid_2d_seq.h5;seq;20.387009;54.10279658436775;0.11086638644337654
4;2;2;8;256;78125;50;0.001;input_data_256.h5;;par;83.81021;1.2892821207642555;1.6502811145782472e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_par.h5;par;83.81021;1.8784357160329819;2.4043977165222168e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_par.h5;par;83.81021;6.867411721497774;8.790287003517151e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;;par;83.81021;1.5642883218824863;2.0022890520095825e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_par.h5;par;83.81021;2.150509398430586;2.75265202999115e-05
4;2;2;8;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963262/256x256_out_hybrid_2d_par.h5;par;83.81021;7.14747666940093;9.148770136833192e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.1069024726748466;2.8337066014921065e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_par.h5;par;45.581886;2.0648281797766685;5.286027801384129e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_par.h5;par;45.581886;3.967010997235775;0.00010155678145603847
4;2;2;8;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.2539169676601887;3.210068526087217e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_par.h5;par;45.581886;2.167524565011263;5.548933912782917e-05
4;2;2;8;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963262/512x512_out_hybrid_2d_par.h5;par;45.581886;3.9592749811708927;0.0001013587369098073
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.5326124802231789;7.847076341319845e-05
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_par.h5;par;29.214909;2.9601192586123943;0.00015156004600954353
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_par.h5;par;29.214909;4.765638642013073;0.00024400382171998734
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.6569456309080124;8.483670221227856e-05
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_par.h5;par;29.214909;3.105243355035782;0.00015899049485616618
4;2;2;8;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963262/1024x1024_out_hybrid_2d_par.h5;par;29.214909;4.702393852174282;0.00024076564703160526
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;3.404773723334074;0.0003486711442226394
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_par.h5;par;23.292988;6.171403285115957;0.0006319921438930832
4;2;2;8;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963262/2048x2048_out_hybrid_2d_par.h5;par;23.292988;11.289880339056253;0.0011561577408147725
