mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7270515750860795;0.0003490849430473732
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963454/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7676540894899517;0.0003542823975281556
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963454/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.7645164132118225;0.00035388074925906586
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.728060311637819;0.00034921406959009457
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963454/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.767662841361016;0.00035428351783935174
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963454/256x256_out_mpi_2d_seq.h5;seq;43.28116;2.76642495917622;0.000354125058778318
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.4785671683494;0.0014026029616869943
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963454/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.540379450074397;0.0014184279186058365
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963454/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.540370169095695;0.0014184255425232193
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.478536440408789;0.001402595094830719
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963454/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.537343911943026;0.0014176507711067654
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963454/512x512_out_mpi_2d_seq.h5;seq;28.379347;5.535633863764815;0.001417212970753921
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.200908969971351;0.006759297987696544
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963454/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.605707035865635;0.006966567862706418
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963454/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.280091926804744;0.0067998422564284405
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.999447;13.146822180249728;0.0067316037789297125
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963454/1024x1024_out_mpi_2d_seq.h5;seq;22.999447;13.456685919663869;0.006890264167774638
